symptoms,disease
I feel restlessness and nervous stomach.,Anxiety
Dealing with severe fatigue and nausea.,Alcoholic hepatitis
I've been suffering from acid reflux and bloating for a few days.,GERD
High blood pressure and severe headache which is getting worse.,Hypertension
"Started with oily skin, now I also feel inflamed red bumps.",Acne
High fever with chills and cough with green sputum which is getting worse.,Pneumonia
Waking up tired,Insomnia
Dark urine,Hepatitis A
I've been suffering from nasal blockage and facial pain under eyes for a few days.,Sinusitis
I feel fever and vomiting.,Hepatitis E
I feel extreme body weakness and headache.,Typhoid
I feel swollen bleeding gums and red tender gums.,Bleeding gums
Dealing with severe bloating and chest burn after eating.,GERD
Shortness of breath and chest pain when breathing which is getting worse.,Pneumonia
Heavy period bleeding,Dysmenorrhea
I feel waking up tired and unable to fall asleep.,Insomnia
Dealing with severe baby crying and hot and infant teething fever.,Toddler high fever
I feel hearing muffling and ear pain.,Otitis Media
Experiencing severe headache along with chest pressure.,Hypertension
I feel high fever with chills and chest pain when breathing.,Pneumonia
I've been suffering from fluid filled bumps and blisters for a few days.,Impetigo
I feel abdominal pain under ribs and nausea.,Hepatitis A
Experiencing high blood pressure along with shortness of breath.,Hypertension
Nausea and abdominal swelling which is getting worse.,Alcoholic hepatitis
Experiencing unexplained weight gain along with dry skin.,Hypothyroidism
Dealing with severe nausea and fatigue.,Alcoholic hepatitis
Experiencing leg cramping at night along with spider veins.,Varicose veins
I feel anxiety and tremors and sweating.,Hyperthyroidism
I've been suffering from clogged ear sensation and hearing muffling for a few days.,Otitis Media
Thick yellow nasal discharge and facial pain under eyes which is getting worse.,Sinusitis
I have anxiety and tremors and heat sensitivity.,Hyperthyroidism
Complaining of dry skin together with cold sensitivity.,Hypothyroidism
I feel stomach cramps and nausea.,Gastroenteritis
Throbbing headache,Migraine
Experiencing severe menstrual cramps along with lower abdominal pain.,Dysmenorrhea
I feel fungal patches on toes and skin peeling.,Fungal infection
Toddler high temperature and child colic which is getting worse.,Toddler high fever
Complaining of itchy throat together with runny nose.,Allergy
Experiencing red tender gums along with swollen bleeding gums.,Bleeding gums
Experiencing red tender gums along with blood while brushing teeth.,Bleeding gums
Nausea and fatigue which is getting worse.,Hepatitis A
Experiencing joint stiffness in morning along with knee pain when bending.,Osteoarthritis
"Started with high fever, now I also feel pain behind eyes.",Dengue
Aching heavy legs and swollen purple veins on legs which is getting worse.,Varicose veins
"Started with jaundice after heavy drinking, now I also feel fatigue.",Alcoholic hepatitis
I feel fever and rash spread all over skin.,Chicken pox
Experiencing dizziness along with sensitivity to sound.,Migraine
Red sores around nose,Impetigo
Wheezing,Bronchial Asthma
Abdominal swelling and fatigue which is getting worse.,Hepatitis C
"Started with headache, now I also feel extreme body weakness.",Typhoid
I feel cavity in molar and visible hole in tooth.,Cavity
Lower abdominal pain,Dysmenorrhea
"Started with congested sinus, now I also feel dry cough.",Common Cold
I feel cold sensitivity and dry skin.,Hypothyroidism
I've been suffering from facial droop and numbness in arm for a few days.,Paralysis (brain hemorrhage)
I've been suffering from extreme body weakness and stomach pain for a few days.,Typhoid
I've been suffering from sensitivity to light and sensitivity to sound for a few days.,Migraine
"Started with baby crying and hot, now I also feel toddler high temperature.",Toddler high fever
Complaining of loss of balance together with dizziness.,(vertigo) Paroxysmal Positional Vertigo
I've been suffering from dry cough and sneezing for a few days.,Common Cold
Dealing with severe cough with green sputum and shortness of breath.,Pneumonia
I feel knee pain when bending and cracking knee joint.,Osteoarthritis
Nausea,Migraine
I've been suffering from dark yellow urine and vomiting for a few days.,Hepatitis E
Complaining of blisters together with honey colored crusts on skin.,Impetigo
I've been suffering from dry cough at night and difficulty catching breath for a few days.,Bronchial Asthma
Fatigue,Hepatitis D
I feel unable to fall asleep and waking up tired.,Insomnia
I have loss of balance and room spinning.,(vertigo) Paroxysmal Positional Vertigo
Dealing with severe nasal congestion and itchy throat.,Allergy
Jaundice symptoms and fatigue which is getting worse.,Hepatitis D
Dizziness,(vertigo) Paroxysmal Positional Vertigo
I have heartburn and chest burn after eating.,GERD
Experiencing fatigue along with abdominal discomfort.,Hepatitis D
I feel loss of appetite and yellow skin.,Hepatitis B
I have dry cough at night and wheezing.,Bronchial Asthma
"Started with nasal blockage, now I also feel facial pain under eyes.",Sinusitis
Nausea and red skin spots which is getting worse.,Dengue
Complaining of swollen painful joints together with joint inflammation.,Arthritis
Experiencing dry scaly patches along with ringworm spots.,Fungal infection
I've been suffering from loss of appetite and yellow skin color for a few days.,Jaundice
Frequent urge to urinate and lower pelvic pain which is getting worse.,Urinary tract infection
Complaining of nervous stomach together with restlessness.,Anxiety
Complaining of severe bone joint pain together with high fever.,Dengue
Experiencing loss of interest in hobbies along with constant crying spells.,Depression
Red sores around nose and fluid filled bumps which is getting worse.,Impetigo
"Started with clogged ear sensation, now I also feel ear pain.",Otitis Media
"Started with oily skin, now I also feel inflamed red bumps.",Acne
I feel nausea and dark urine.,Hepatitis B
"Started with heavy period bleeding, now I also feel pelvic cramps during cycle.",Dysmenorrhea
Staying awake at night and disturbed sleep which is getting worse.,Insomnia
I feel staying awake at night and disturbed sleep.,Insomnia
Dealing with severe gum sensitivity and sharp pain in tooth.,Toothache
I have heat sensitivity and anxiety and tremors.,Hyperthyroidism
I've been suffering from bloating and acid reflux for a few days.,GERD
Rectal bleeding and itching in anal area which is getting worse.,Dimorphic hemorrhoids(piles)
I feel fatigue and dark urine.,Hepatitis A
I feel sudden weakness and numbness in arm.,Paralysis (brain hemorrhage)
I have constant fatigue and cold sensitivity.,Hypothyroidism
I feel constant fatigue and dry skin.,Hypothyroidism
"Started with nausea, now I also feel mild fever.",Gastroenteritis
Complaining of dizziness together with sensitivity to sound.,Migraine
Complaining of difficulty catching breath together with dry cough at night.,Bronchial Asthma
Dealing with severe swollen lips after medicine and itchy body rash.,Drug Reaction
Complaining of dry cough at night together with wheezing.,Bronchial Asthma
Complaining of heavy period bleeding together with pelvic cramps during cycle.,Dysmenorrhea
I feel cracking knee joint and knee pain when bending.,Osteoarthritis
Sensitivity to sound and visual aura which is getting worse.,Migraine
Fatigue and abdominal pain under ribs which is getting worse.,Hepatitis A
Dealing with severe dark urine and loss of appetite.,Hepatitis B
Watery diarrhea,Gastroenteritis
Burning sensation during urination and frequent urge to urinate which is getting worse.,Urinary tract infection
Yellow skin color,Jaundice
Dealing with severe itching in anal area and rectal bleeding.,Dimorphic hemorrhoids(piles)
Complaining of rectal bleeding together with anal lumps.,Dimorphic hemorrhoids(piles)
Experiencing lower abdominal pain along with heavy period bleeding.,Dysmenorrhea
"Started with pimples on face, now I also feel inflamed red bumps.",Acne
Complaining of inflamed red bumps together with oily skin.,Acne
I've been suffering from blackheads and inflamed red bumps for a few days.,Acne
I've been suffering from swollen lips after medicine and skin peeling for a few days.,Drug Reaction
I've been suffering from skin peeling and itchy body rash for a few days.,Drug Reaction
I feel yellow skin color and fatigue.,Jaundice
Complaining of skin plaques together with itchy elbows.,Psoriasis
"Started with shakiness and sweating, now I also feel heart palpitations.",Hypoglycemia
I've been suffering from painful bowel movements and anal lumps for a few days.,Dimorphic hemorrhoids(piles)
Experiencing high blood pressure along with severe headache.,Hypertension
"Started with headache, now I also feel extreme body weakness.",Typhoid
Fever,Hepatitis E
I feel pelvic cramps during cycle and heavy period bleeding.,Dysmenorrhea
Experiencing sweaty palms along with constant panic feeling.,Anxiety
I feel night sweats and coughing up blood.,Tuberculosis
Chest tightness when breathing,Bronchial Asthma
"Started with unexplained weight loss, now I also feel coughing up blood.",Tuberculosis
Dealing with severe stomach cramps and vomiting.,Gastroenteritis
I feel fungal patches on toes and ringworm spots.,Fungal infection
I've been suffering from nausea and loss of balance for a few days.,(vertigo) Paroxysmal Positional Vertigo
I feel shakiness and sweating and heart palpitations.,Hypoglycemia
"Started with infant teething fever, now I also feel child colic.",Toddler high fever
I have swollen lips after medicine and sudden hives.,Drug Reaction
Congested sinus and sneezing which is getting worse.,Common Cold
I've been suffering from high fever with chills and sweating for a few days.,Malaria
I feel numbness in fingers and neck pain.,Cervical spondylosis
Fatigue and loss of appetite which is getting worse.,Jaundice
Numbness in arm,Paralysis (brain hemorrhage)
Dealing with severe fluid filled bumps and blisters.,Impetigo
Sneezing,Common Cold
I feel sinus headache and thick yellow nasal discharge.,Sinusitis
I have knee pain when bending and cracking knee joint.,Osteoarthritis
I have hip joint stiffness and knee pain when bending.,Osteoarthritis
Complaining of nausea together with red skin spots.,Dengue
Dealing with severe dry cracked skin and itchy elbows.,Psoriasis
I've been suffering from swollen lips after medicine and sudden hives for a few days.,Drug Reaction
Dry skin and cold sensitivity which is getting worse.,Hypothyroidism
I feel jaundice symptoms and abdominal discomfort.,Hepatitis D
Dealing with severe shortness of breath and chest pain when breathing.,Pneumonia
Experiencing nausea along with fatigue.,Hepatitis C
I have sensitivity to sound and sensitivity to light.,Migraine
I have watery diarrhea and stomach cramps.,Gastroenteritis
Experiencing shoulder stiffness along with neck cracking sound.,Cervical spondylosis
Experiencing constant crying spells along with loss of interest in hobbies.,Depression
I feel dark urine and abdominal pain under ribs.,Hepatitis A
"Started with itchy fluid filled blisters, now I also feel fever.",Chicken pox
Dealing with severe chest pain when breathing and cough with green sputum.,Pneumonia
I feel abdominal pain under ribs and nausea.,Hepatitis A
I feel fatigue and jaundice after heavy drinking.,Alcoholic hepatitis
Fatigue and yellow skin color which is getting worse.,Jaundice
"Started with jaundice, now I also feel fever.",Hepatitis E
Dealing with severe mild fever and vomiting.,Gastroenteritis
Experiencing room spinning along with nausea.,(vertigo) Paroxysmal Positional Vertigo
Experiencing unexplained weight loss along with night sweats.,Tuberculosis
I feel ear pain and fluid drainage from ear.,Otitis Media
Dealing with severe heart palpitations and hunger and confusion.,Hypoglycemia
Dealing with severe fatigue and abdominal swelling.,Alcoholic hepatitis
Complaining of blood while brushing teeth together with red tender gums.,Bleeding gums
"Started with skin peeling, now I also feel red itchy skin rash.",Fungal infection
Unexplained weight gain,Hypothyroidism
Watery eyes,Allergy
Headache and vertigo which is getting worse.,(vertigo) Paroxysmal Positional Vertigo
Dealing with severe high fever with chills and cough with green sputum.,Pneumonia
Experiencing burning sensation during urination along with frequent urge to urinate.,Urinary tract infection
Complaining of clogged ear sensation together with ear pain.,Otitis Media
Spider veins,Varicose veins
Nausea,Hepatitis A
Nausea,Dengue
Experiencing cloudy foul urine along with frequent urge to urinate.,Urinary tract infection
I feel sudden weakness and difficulty walking.,Paralysis (brain hemorrhage)
Dealing with severe pain behind eyes and severe bone joint pain.,Dengue
I've been suffering from warm red joints and swollen painful joints for a few days.,Arthritis
Acid reflux,GERD
I've been suffering from sour taste in mouth and chest burn after eating for a few days.,GERD
Chest burn after eating,GERD
"Started with stiff fingers, now I also feel joint inflammation.",Arthritis
"Started with mild fever, now I also feel nausea.",Gastroenteritis
Complaining of abdominal swelling together with nausea.,Alcoholic hepatitis
I feel ringworm spots and red itchy skin rash.,Fungal infection
I feel frequent urge to urinate and cloudy foul urine.,Urinary tract infection
Complaining of dark urine together with nausea.,Hepatitis B
I've been suffering from jaundice and nausea for a few days.,Hepatitis A
Dry cough at night,Bronchial Asthma
"Started with unable to fall asleep, now I also feel staying awake at night.",Insomnia
Dealing with severe skin plaques and silver scaly patches.,Psoriasis
Fatigue and jaundice which is getting worse.,Hepatitis A
Complaining of arm tingling together with neck pain.,Cervical spondylosis
"Started with constant crying spells, now I also feel feeling empty and hopeless.",Depression
Knee pain when bending and hip joint stiffness which is getting worse.,Osteoarthritis
Nasal blockage,Sinusitis
Shortness of breath and acute chest pain which is getting worse.,Heart attack
Cystic breakouts,Acne
I've been suffering from dry cough and congested sinus for a few days.,Common Cold
Dark urine,Hepatitis B
I have leg cramping at night and swollen purple veins on legs.,Varicose veins
I have heat sensitivity and anxiety and tremors.,Hyperthyroidism
Dealing with severe red itchy skin rash and fungal patches on toes.,Fungal infection
I have severe shivering and high fever with chills.,Malaria
"Started with nosebleeds, now I also feel chest pressure.",Hypertension
"Started with tooth sensitivity to hot cold, now I also feel visible hole in tooth.",Cavity
Complaining of numbness in arm together with slurred speech.,Paralysis (brain hemorrhage)
I have itchy throat and constant sneezing.,Allergy
Nausea and loss of appetite which is getting worse.,Hepatitis B
I've been suffering from coughing up blood and unexplained weight loss for a few days.,Tuberculosis
Shortness of breath and high fever with chills which is getting worse.,Pneumonia
"Started with stomach cramps, now I also feel watery diarrhea.",Gastroenteritis
"Started with sudden weakness, now I also feel facial droop.",Paralysis (brain hemorrhage)
Pimples on face,Acne
Experiencing rash spread all over skin along with body aches.,Chicken pox
Constant crying spells and loss of interest in hobbies which is getting worse.,Depression
Complaining of lower abdominal pain together with severe menstrual cramps.,Dysmenorrhea
I feel hunger and confusion and shakiness and sweating.,Hypoglycemia
I've been suffering from jaundice after heavy drinking and abdominal swelling for a few days.,Alcoholic hepatitis
"Started with coughing up blood, now I also feel unexplained weight loss.",Tuberculosis
Experiencing chest tightness when breathing along with wheezing.,Bronchial Asthma
Swollen painful joints and stiff fingers which is getting worse.,Arthritis
Facial pain under eyes,Sinusitis
I've been suffering from pain when chewing and gum sensitivity for a few days.,Toothache
Shakiness and sweating,Hypoglycemia
I have facial droop and numbness in arm.,Paralysis (brain hemorrhage)
Dealing with severe watery eyes and nasal congestion.,Allergy
"Started with severe shivering, now I also feel sweating.",Malaria
"Started with unexplained weight gain, now I also feel cold sensitivity.",Hypothyroidism
Knee pain when bending,Osteoarthritis
I have headache and muscle ache and sweating.,Malaria
I've been suffering from sensitivity to sound and nausea for a few days.,Migraine
I feel nausea and dark urine.,Hepatitis B
Experiencing unexplained weight gain along with cold sensitivity.,Hypothyroidism
I feel aching heavy legs and leg cramping at night.,Varicose veins
Experiencing gum sensitivity along with sharp pain in tooth.,Toothache
"Started with fungal patches on toes, now I also feel skin peeling.",Fungal infection
Coughing up blood,Tuberculosis
I've been suffering from neck pain and numbness in fingers for a few days.,Cervical spondylosis
"Started with itchy throat, now I also feel constant sneezing.",Allergy
Sudden dizziness,Hypoglycemia
Experiencing cracking knee joint along with hip joint stiffness.,Osteoarthritis
Swollen bleeding gums,Bleeding gums
Experiencing numbness in fingers along with neck pain.,Cervical spondylosis
Complaining of oily skin together with blackheads.,Acne
Cloudy foul urine,Urinary tract infection
Complaining of racing thoughts together with restlessness.,Anxiety
Experiencing chest tightness along with left arm pain.,Heart attack
Constant crying spells and feeling empty and hopeless which is getting worse.,Depression
I have visual aura and dizziness.,Migraine
Complaining of shoulder stiffness together with numbness in fingers.,Cervical spondylosis
Continuous high fever,Typhoid
Dealing with severe constant sneezing and itchy throat.,Allergy
I feel hearing muffling and fluid drainage from ear.,Otitis Media
I have anal lumps and itching in anal area.,Dimorphic hemorrhoids(piles)
Joint pain,Hepatitis B
Complaining of oily skin together with pimples on face.,Acne
I feel heartburn and bloating.,GERD
I've been suffering from nausea and jaundice after heavy drinking for a few days.,Alcoholic hepatitis
I've been suffering from red tender gums and swollen bleeding gums for a few days.,Bleeding gums
Dealing with severe bloating and chest burn after eating.,GERD
Fatigue,Hepatitis C
Complaining of yellow skin color together with loss of appetite.,Jaundice
I feel hip joint stiffness and cracking knee joint.,Osteoarthritis
Dark tea colored urine and yellow eyes which is getting worse.,Jaundice
Pain behind eyes,Dengue
I feel nausea and mild fever.,Gastroenteritis
Complaining of numbness in arm together with difficulty walking.,Paralysis (brain hemorrhage)
Chest pressure,Hypertension
Dealing with severe cystic breakouts and blackheads.,Acne
I have child colic and baby crying and hot.,Toddler high fever
Dealing with severe blood while brushing teeth and swollen bleeding gums.,Bleeding gums
"Started with loss of balance, now I also feel room spinning.",(vertigo) Paroxysmal Positional Vertigo
Complaining of child colic together with baby crying and hot.,Toddler high fever
I have thick yellow nasal discharge and sinus headache.,Sinusitis
I have burning sensation during urination and frequent urge to urinate.,Urinary tract infection
Experiencing dizziness along with severe headache.,Hypertension
"Started with high fever, now I also feel red skin spots.",Dengue
Experiencing pain when chewing along with sharp pain in tooth.,Toothache
I've been suffering from sudden dizziness and hunger and confusion for a few days.,Hypoglycemia
I feel red itchy skin rash and ringworm spots.,Fungal infection
I feel shakiness and sweating and hunger and confusion.,Hypoglycemia
I have cracking knee joint and hip joint stiffness.,Osteoarthritis
Dealing with severe restlessness and constant panic feeling.,Anxiety
