symptoms,department
I have dry cough at night and wheezing.,General Medicine
"Started with nasal blockage, now I also feel facial pain under eyes.",ENT
Nausea and red skin spots which is getting worse.,General Medicine
Complaining of swollen painful joints together with joint inflammation.,Orthopedics
Experiencing dry scaly patches along with ringworm spots.,Dermatology
I've been suffering from loss of appetite and yellow skin color for a few days.,General Medicine
Frequent urge to urinate and lower pelvic pain which is getting worse.,Gynecology
Complaining of nervous stomach together with restlessness.,Psychiatry
Complaining of severe bone joint pain together with high fever.,General Medicine
Experiencing loss of interest in hobbies along with constant crying spells.,Psychiatry
Red sores around nose and fluid filled bumps which is getting worse.,Dermatology
"Started with clogged ear sensation, now I also feel ear pain.",ENT
"Started with oily skin, now I also feel inflamed red bumps.",Dermatology
I feel nausea and dark urine.,General Medicine
"Started with heavy period bleeding, now I also feel pelvic cramps during cycle.",Gynecology
Staying awake at night and disturbed sleep which is getting worse.,Psychiatry
I feel staying awake at night and disturbed sleep.,Psychiatry
Dealing with severe gum sensitivity and sharp pain in tooth.,Dentistry
I have heat sensitivity and anxiety and tremors.,General Medicine
I've been suffering from bloating and acid reflux for a few days.,General Medicine
Rectal bleeding and itching in anal area which is getting worse.,General Medicine
I feel fatigue and dark urine.,General Medicine
I feel sudden weakness and numbness in arm.,Neurology
I have constant fatigue and cold sensitivity.,General Medicine
I feel constant fatigue and dry skin.,General Medicine
"Started with nausea, now I also feel mild fever.",General Medicine
Complaining of dizziness together with sensitivity to sound.,Neurology
Complaining of difficulty catching breath together with dry cough at night.,General Medicine
Dealing with severe swollen lips after medicine and itchy body rash.,Dermatology
Complaining of dry cough at night together with wheezing.,General Medicine
Complaining of heavy period bleeding together with pelvic cramps during cycle.,Gynecology
I feel cracking knee joint and knee pain when bending.,Orthopedics
Sensitivity to sound and visual aura which is getting worse.,Neurology
Fatigue and abdominal pain under ribs which is getting worse.,General Medicine
Dealing with severe dark urine and loss of appetite.,General Medicine
Watery diarrhea,General Medicine
Burning sensation during urination and frequent urge to urinate which is getting worse.,Gynecology
Yellow skin color,General Medicine
Dealing with severe itching in anal area and rectal bleeding.,General Medicine
Complaining of rectal bleeding together with anal lumps.,General Medicine
Experiencing lower abdominal pain along with heavy period bleeding.,Gynecology
"Started with pimples on face, now I also feel inflamed red bumps.",Dermatology
Complaining of inflamed red bumps together with oily skin.,Dermatology
I've been suffering from blackheads and inflamed red bumps for a few days.,Dermatology
I've been suffering from swollen lips after medicine and skin peeling for a few days.,Dermatology
I've been suffering from skin peeling and itchy body rash for a few days.,Dermatology
I feel yellow skin color and fatigue.,General Medicine
Complaining of skin plaques together with itchy elbows.,Dermatology
"Started with shakiness and sweating, now I also feel heart palpitations.",General Medicine
I've been suffering from painful bowel movements and anal lumps for a few days.,General Medicine
Experiencing high blood pressure along with severe headache.,Cardiology
"Started with headache, now I also feel extreme body weakness.",General Medicine
Fever,General Medicine
I feel pelvic cramps during cycle and heavy period bleeding.,Gynecology
Experiencing sweaty palms along with constant panic feeling.,Psychiatry
I feel night sweats and coughing up blood.,General Medicine
Chest tightness when breathing,General Medicine
"Started with unexplained weight loss, now I also feel coughing up blood.",General Medicine
Dealing with severe stomach cramps and vomiting.,General Medicine
I feel fungal patches on toes and ringworm spots.,Dermatology
I've been suffering from nausea and loss of balance for a few days.,Neurology
I feel shakiness and sweating and heart palpitations.,General Medicine
"Started with infant teething fever, now I also feel child colic.",Pediatrics
I have swollen lips after medicine and sudden hives.,Dermatology
Congested sinus and sneezing which is getting worse.,ENT
I've been suffering from high fever with chills and sweating for a few days.,General Medicine
I feel numbness in fingers and neck pain.,Neurology
Fatigue and loss of appetite which is getting worse.,General Medicine
Numbness in arm,Neurology
Dealing with severe fluid filled bumps and blisters.,Dermatology
Sneezing,ENT
I feel sinus headache and thick yellow nasal discharge.,ENT
I have knee pain when bending and cracking knee joint.,Orthopedics
I have hip joint stiffness and knee pain when bending.,Orthopedics
Complaining of nausea together with red skin spots.,General Medicine
Dealing with severe dry cracked skin and itchy elbows.,Dermatology
I've been suffering from swollen lips after medicine and sudden hives for a few days.,Dermatology
Dry skin and cold sensitivity which is getting worse.,General Medicine
I feel jaundice symptoms and abdominal discomfort.,General Medicine
Dealing with severe shortness of breath and chest pain when breathing.,General Medicine
Experiencing nausea along with fatigue.,General Medicine
I have sensitivity to sound and sensitivity to light.,Neurology
I have watery diarrhea and stomach cramps.,General Medicine
Experiencing shoulder stiffness along with neck cracking sound.,Neurology
Experiencing constant crying spells along with loss of interest in hobbies.,Psychiatry
I feel dark urine and abdominal pain under ribs.,General Medicine
"Started with itchy fluid filled blisters, now I also feel fever.",Pediatrics
Dealing with severe chest pain when breathing and cough with green sputum.,General Medicine
I feel abdominal pain under ribs and nausea.,General Medicine
I feel fatigue and jaundice after heavy drinking.,General Medicine
Fatigue and yellow skin color which is getting worse.,General Medicine
"Started with jaundice, now I also feel fever.",General Medicine
Dealing with severe mild fever and vomiting.,General Medicine
Experiencing room spinning along with nausea.,Neurology
Experiencing unexplained weight loss along with night sweats.,General Medicine
I feel ear pain and fluid drainage from ear.,ENT
Dealing with severe heart palpitations and hunger and confusion.,General Medicine
Dealing with severe fatigue and abdominal swelling.,General Medicine
Complaining of blood while brushing teeth together with red tender gums.,Dentistry
"Started with skin peeling, now I also feel red itchy skin rash.",Dermatology
Unexplained weight gain,General Medicine
Watery eyes,Dermatology
Headache and vertigo which is getting worse.,Neurology
Dealing with severe high fever with chills and cough with green sputum.,General Medicine
Experiencing burning sensation during urination along with frequent urge to urinate.,Gynecology
Complaining of clogged ear sensation together with ear pain.,ENT
Spider veins,General Medicine
Nausea,General Medicine
Nausea,General Medicine
Experiencing cloudy foul urine along with frequent urge to urinate.,Gynecology
I feel sudden weakness and difficulty walking.,Neurology
Dealing with severe pain behind eyes and severe bone joint pain.,General Medicine
I've been suffering from warm red joints and swollen painful joints for a few days.,Orthopedics
Acid reflux,General Medicine
I've been suffering from sour taste in mouth and chest burn after eating for a few days.,General Medicine
Chest burn after eating,General Medicine
"Started with stiff fingers, now I also feel joint inflammation.",Orthopedics
"Started with mild fever, now I also feel nausea.",General Medicine
Complaining of abdominal swelling together with nausea.,General Medicine
I feel ringworm spots and red itchy skin rash.,Dermatology
I feel frequent urge to urinate and cloudy foul urine.,Gynecology
Complaining of dark urine together with nausea.,General Medicine
I've been suffering from jaundice and nausea for a few days.,General Medicine
Dry cough at night,General Medicine
"Started with unable to fall asleep, now I also feel staying awake at night.",Psychiatry
Dealing with severe skin plaques and silver scaly patches.,Dermatology
Fatigue and jaundice which is getting worse.,General Medicine
Complaining of arm tingling together with neck pain.,Neurology
"Started with constant crying spells, now I also feel feeling empty and hopeless.",Psychiatry
Knee pain when bending and hip joint stiffness which is getting worse.,Orthopedics
Nasal blockage,ENT
Shortness of breath and acute chest pain which is getting worse.,Cardiology
Cystic breakouts,Dermatology
I've been suffering from dry cough and congested sinus for a few days.,ENT
Dark urine,General Medicine
I have leg cramping at night and swollen purple veins on legs.,General Medicine
I have heat sensitivity and anxiety and tremors.,General Medicine
Dealing with severe red itchy skin rash and fungal patches on toes.,Dermatology
I have severe shivering and high fever with chills.,General Medicine
"Started with nosebleeds, now I also feel chest pressure.",Cardiology
"Started with tooth sensitivity to hot cold, now I also feel visible hole in tooth.",Dentistry
Complaining of numbness in arm together with slurred speech.,Neurology
I have itchy throat and constant sneezing.,Dermatology
Nausea and loss of appetite which is getting worse.,General Medicine
I've been suffering from coughing up blood and unexplained weight loss for a few days.,General Medicine
Shortness of breath and high fever with chills which is getting worse.,General Medicine
"Started with stomach cramps, now I also feel watery diarrhea.",General Medicine
"Started with sudden weakness, now I also feel facial droop.",Neurology
Pimples on face,Dermatology
Experiencing rash spread all over skin along with body aches.,Pediatrics
Constant crying spells and loss of interest in hobbies which is getting worse.,Psychiatry
Complaining of lower abdominal pain together with severe menstrual cramps.,Gynecology
I feel hunger and confusion and shakiness and sweating.,General Medicine
I've been suffering from jaundice after heavy drinking and abdominal swelling for a few days.,General Medicine
"Started with coughing up blood, now I also feel unexplained weight loss.",General Medicine
Experiencing chest tightness when breathing along with wheezing.,General Medicine
Swollen painful joints and stiff fingers which is getting worse.,Orthopedics
Facial pain under eyes,ENT
I've been suffering from pain when chewing and gum sensitivity for a few days.,Dentistry
Shakiness and sweating,General Medicine
I have facial droop and numbness in arm.,Neurology
Dealing with severe watery eyes and nasal congestion.,Dermatology
"Started with severe shivering, now I also feel sweating.",General Medicine
"Started with unexplained weight gain, now I also feel cold sensitivity.",General Medicine
Knee pain when bending,Orthopedics
I have headache and muscle ache and sweating.,General Medicine
I've been suffering from sensitivity to sound and nausea for a few days.,Neurology
I feel nausea and dark urine.,General Medicine
Experiencing unexplained weight gain along with cold sensitivity.,General Medicine
I feel aching heavy legs and leg cramping at night.,General Medicine
Experiencing gum sensitivity along with sharp pain in tooth.,Dentistry
"Started with fungal patches on toes, now I also feel skin peeling.",Dermatology
Coughing up blood,General Medicine
I've been suffering from neck pain and numbness in fingers for a few days.,Neurology
"Started with itchy throat, now I also feel constant sneezing.",Dermatology
Sudden dizziness,General Medicine
Experiencing cracking knee joint along with hip joint stiffness.,Orthopedics
Swollen bleeding gums,Dentistry
Experiencing numbness in fingers along with neck pain.,Neurology
Complaining of oily skin together with blackheads.,Dermatology
Cloudy foul urine,Gynecology
Complaining of racing thoughts together with restlessness.,Psychiatry
Experiencing chest tightness along with left arm pain.,Cardiology
Constant crying spells and feeling empty and hopeless which is getting worse.,Psychiatry
I have visual aura and dizziness.,Neurology
Complaining of shoulder stiffness together with numbness in fingers.,Neurology
Continuous high fever,General Medicine
Dealing with severe constant sneezing and itchy throat.,Dermatology
I feel hearing muffling and fluid drainage from ear.,ENT
I have anal lumps and itching in anal area.,General Medicine
Joint pain,General Medicine
Complaining of oily skin together with pimples on face.,Dermatology
I feel heartburn and bloating.,General Medicine
I've been suffering from nausea and jaundice after heavy drinking for a few days.,General Medicine
I've been suffering from red tender gums and swollen bleeding gums for a few days.,Dentistry
Dealing with severe bloating and chest burn after eating.,General Medicine
Fatigue,General Medicine
Complaining of yellow skin color together with loss of appetite.,General Medicine
I feel hip joint stiffness and cracking knee joint.,Orthopedics
Dark tea colored urine and yellow eyes which is getting worse.,General Medicine
Pain behind eyes,General Medicine
I feel nausea and mild fever.,General Medicine
Complaining of numbness in arm together with difficulty walking.,Neurology
Chest pressure,Cardiology
Dealing with severe cystic breakouts and blackheads.,Dermatology
I have child colic and baby crying and hot.,Pediatrics
Dealing with severe blood while brushing teeth and swollen bleeding gums.,Dentistry
"Started with loss of balance, now I also feel room spinning.",Neurology
Complaining of child colic together with baby crying and hot.,Pediatrics
I have thick yellow nasal discharge and sinus headache.,ENT
I have burning sensation during urination and frequent urge to urinate.,Gynecology
Experiencing dizziness along with severe headache.,Cardiology
"Started with high fever, now I also feel red skin spots.",General Medicine
Experiencing pain when chewing along with sharp pain in tooth.,Dentistry
I've been suffering from sudden dizziness and hunger and confusion for a few days.,General Medicine
I feel red itchy skin rash and ringworm spots.,Dermatology
I feel shakiness and sweating and hunger and confusion.,General Medicine
I have cracking knee joint and hip joint stiffness.,Orthopedics
Dealing with severe restlessness and constant panic feeling.,Psychiatry
